what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453292908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453293503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453383120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453392483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453483090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453491627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453509831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453512388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453515006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453522734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453573658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453575428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453757666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453761862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453838911
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1322453840280
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1322453840329
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1322453840357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453846508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453853825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453899211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322453995676
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1322454006153
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1322454006176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322454006363
